5	10	28	13	14	0	14	6	24	26	
6	9	29	12	15	1	13	7	23	25	
5	10	28	11	16	0	12	8	24	26	
6	9	27	12	15	0	11	7	23	25	
7	10	26	11	16	1	10	6	22	26	
6	9	27	12	15	2	9	7	23	27	
5	8	28	13	16	3	10	6	22	28	
6	9	29	14	15	2	11	5	23	29	
5	10	28	13	16	3	12	4	24	28	
4	9	29	14	15	4	11	3	25	27	
5	8	30	15	14	5	10	4	24	26	
6	9	31	14	15	6	9	5	23	27	
7	10	30	15	16	5	8	6	24	28	
8	11	29	14	17	6	9	5	23	29	
9	10	28	15	18	7	8	4	22	28	
8	11	29	14	19	8	9	5	23	29	
7	12	30	15	18	7	10	6	24	28	
6	11	31	14	19	6	11	7	25	27	
5	12	30	13	20	5	10	8	26	26	
6	13	29	14	21	6	11	9	27	25	
7	12	28	13	20	7	10	8	28	24	
8	11	29	12	19	6	9	7	29	25	
9	10	30	13	18	5	8	6	30	24	
8	9	29	12	19	4	9	7	31	25	
7	8	30	11	20	5	8	6	30	26	
6	9	29	10	19	6	9	7	29	27	
7	10	28	11	20	5	10	8	28	28	
6	11	29	10	19	6	11	7	27	29	
5	12	30	9	20	7	10	6	26	30	
6	13	29	10	19	8	11	7	25	31	
5	12	28	9	20	9	12	8	26	32	
6	11	27	8	19	8	13	7	27	33	
7	12	26	9	18	9	12	6	28	32	
6	11	25	8	17	8	13	5	29	33	
5	10	26	7	18	9	12	4	30	32	
6	9	27	8	19	8	11	5	31	31	
7	10	26	7	20	7	12	4	30	32	
8	11	27	8	21	8	13	5	29	33	
7	10	26	7	22	7	14	6	30	34	
6	9	27	8	21	6	15	7	29	35	
7	10	26	9	22	7	14	8	30	34	
6	9	27	8	23	6	15	7	29	33	
7	10	26	9	24	7	16	8	28	32	
8	11	25	8	23	8	17	7	29	33	
9	10	24	9	22	7	18	6	30	32	
8	11	23	10	21	6	17	7	29	31	
9	10	22	9	22	5	18	6	28	30	
8	9	21	10	21	6	19	5	27	31	
9	8	22	9	20	5	18	6	28	30	
8	7	21	8	19	6	17	7	27	31	
7	6	20	9	18	7	18	8	26	32	
8	5	21	8	19	6	17	7	27	31	
7	4	22	7	20	7	18	6	26	30	
8	5	23	6	21	6	19	7	27	31	
9	4	24	7	22	5	18	8	26	32	
10	3	23	6	23	6	19	9	25	31	
9	4	22	7	24	7	18	8	26	32	
10	3	21	8	25	6	19	7	27	33	
11	2	20	9	24	7	18	8	28	34	
12	3	21	10	25	8	17	7	29	33	
11	2	20	11	26	7	16	8	28	32	
10	1	19	12	27	8	15	7	29	31	
11	2	18	13	26	9	16	8	28	32	
12	1	19	12	25	8	15	7	29	33	
13	2	18	13	24	7	16	8	30	32	
14	1	17	12	23	6	15	9	31	33	
13	0	16	11	22	7	16	8	32	32	
12	0	17	12	21	8	15	9	33	31	
11	0	16	11	20	9	16	10	32	30	
12	1	15	10	21	10	15	11	33	31	
11	0	14	9	20	9	14	10	34	32	
10	0	13	8	19	10	13	9	35	31	
11	0	14	7	18	11	14	10	36	30	
10	1	15	8	17	12	15	11	37	29	
9	2	14	7	16	13	16	12	38	28	
10	1	13	6	17	12	15	13	39	27	
9	0	12	7	16	13	14	12	38	26	
8	0	13	6	17	14	13	13	39	25	
9	1	14	7	18	15	14	12	40	26	
10	2	15	6	19	16	15	11	41	27	
11	1	14	5	18	17	16	10	40	28	
12	0	15	6	17	18	17	9	39	27	
13	1	16	5	18	19	18	10	38	26	
12	0	17	6	19	20	17	11	37	25	
13	1	18	5	18	19	16	10	36	26	
12	0	17	4	19	18	17	9	35	27	
13	1	16	3	18	19	16	10	34	28	
12	2	15	4	17	20	15	11	35	29	
11	3	14	5	16	21	16	12	36	28	
10	2	13	6	17	20	15	13	35	27	
9	3	14	7	16	21	16	12	34	28	
10	4	13	6	17	22	17	13	35	27	
11	3	14	7	16	23	18	14	34	26	
10	2	15	6	15	22	17	13	33	25	
11	1	16	7	14	23	18	14	32	24	
12	2	17	6	15	24	17	15	31	25	
11	3	16	5	14	23	16	16	30	26	
12	2	17	6	15	22	17	15	31	25	
13	1	18	5	14	23	18	16	32	24	
